,freq,lbd,S,aux,idl
438,177243563851146.66,1.6914152e-06,-56.2712551,,
439,177245617760859.75,1.6913956e-06,-54.3160685,,
440,177247671718175.03,1.691376e-06,-55.6070076,,
441,177249725723094.2,1.6913564e-06,-56.0933313,,
442,177251779775618.9,1.6913368e-06,-57.2109783,,
443,177253833875750.8,1.6913172e-06,-58.7761866,,
444,177255888023491.56,1.6912976e-06,-57.3414672,,
445,177257942218842.78,1.691278e-06,-56.2164204,,
446,177259996461806.2,1.6912584e-06,-54.5655456,,
447,177262050752383.4,1.6912388e-06,-57.4807329,,
448,177264105090576.1,1.6912192e-06,-56.4035293,,
449,177266159476385.88,1.6911996e-06,-54.640818,,
450,177268213909814.44,1.69118e-06,-58.1067087,,
451,177270268390863.47,1.6911604e-06,-55.2878619,,
452,177272322919534.56,1.6911408e-06,-57.5115828,,
453,177274377495829.4,1.6911212e-06,-56.9042704,,
454,177276432119749.62,1.6911016e-06,-55.793049,,
455,177278486791296.94,1.691082e-06,-54.470997,,
456,177280541510472.94,1.6910624e-06,-56.6268588,,
457,177282596277279.3,1.6910428e-06,-57.1509275,,
458,177284651091717.72,1.6910232e-06,-57.384536,,
459,177286705953789.8,1.6910036e-06,-56.8981036,,
460,177288760863497.22,1.690984e-06,-55.565739,,
461,177290815820841.66,1.6909644e-06,-56.1508556,,
462,177292870825824.7,1.6909448e-06,-58.345639,,
463,177294925878448.1,1.6909252e-06,-57.1046746,,
464,177296980978713.44,1.6909056e-06,-54.868958,,
465,177299036126622.38,1.690886e-06,-54.4499053,,
466,177301091322176.6,1.6908664e-06,-55.7567,,
467,177303146565377.78,1.6908468e-06,-55.6886632,,
468,177305201856227.53,1.6908272e-06,-55.3480553,,
469,177307257194727.53,1.6908076e-06,-55.9801879,,
470,177309312580879.44,1.690788e-06,-54.6627378,,
471,177311368014684.94,1.6907684e-06,-56.6808704,,
472,177313423496145.62,1.6907488e-06,-58.9417431,,
473,177315479025263.2,1.6907292e-06,-55.819055,,
474,177317534602039.28,1.6907096e-06,-56.3802163,,
475,177319590226475.6,1.69069e-06,-56.1133075,,
476,177321645898573.72,1.6906704e-06,-55.6869279,,
477,177323701618335.38,1.6906508e-06,-57.635884,,
478,177325757385762.2,1.6906312e-06,-55.8379999,,
479,177327813200855.84,1.6906116e-06,-55.937049,,
480,177329869063617.97,1.690592e-06,-56.7699722,,
481,177331924974050.22,1.6905724e-06,-55.3831528,,
482,177333980932154.25,1.6905528e-06,-57.4380435,,
483,177336036937931.75,1.6905332e-06,-55.866094,,
484,177338092991384.4,1.6905136e-06,-56.045169,,
485,177340149092513.78,1.690494e-06,-55.1204136,,
486,177342205241321.6,1.6904744e-06,-57.6354822,,
487,177344261437809.5,1.6904548e-06,-56.5568934,,
488,177346317681979.2,1.6904352e-06,-54.8145834,,
489,177348373973832.25,1.6904156e-06,-56.0300685,,
490,177350430313370.34,1.690396e-06,-55.6508433,,
491,177352486700595.2,1.6903764e-06,-56.9933115,,
492,177354543135508.44,1.6903568e-06,-57.5436287,,
493,177356599618111.7,1.6903372e-06,-55.6815603,,
494,177358656148406.66,1.6903176e-06,-55.1257495,,
495,177360712726394.97,1.690298e-06,-57.7161835,,
496,177362769352078.34,1.6902784e-06,-56.1980414,,
497,177364826025458.34,1.6902588e-06,-61.7343152,,
498,177366882746536.7,1.6902392e-06,-57.204663,,
499,177368939515315.03,1.6902196e-06,-55.8459686,,
500,177370996331795.06,1.6902e-06,-56.5456256,,
